Numéro CAS;Nom SA;Source;Date;Nom;valeur;Unite;Etude(s) pivot(s) 1;NOAEL de l'Ètude pivot 1;Unité NOAEL étude pivot 1;Etude(s) pivot(s) 2;Facteur de sécurité;F.correction (abs. orale lim.)
108-62-3 (tetramer);metaldehyde;UE;01/06/2011;ARFD;0,3;mg/kg pc;1 an, voie orale, chien;30;mg/kg p.c./j;;100;non nécessaire
108-62-3 (tetramer);metaldehyde;UE;01/06/2011;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2;mg/kg p.c./j;;100;non nécessaire
41394-05-2;metamitrone;UE;01/09/2009;DJA;0,03;mg/kg/j;2 ans, voie orale, chien;3;mg/kg/p.c./j;;100;non nécessaire
41394-05-2;metamitrone;UE;01/09/2009;AOEL;0,036;mg/kg/j;90 jours, voie orale, chien;3,6;mg/kg p.c./j;;100;non nécessaire
41394-05-2;metamitrone;UE;01/09/2009;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg/p.c./j;Etudes fontionnelles et pharmacologiques ‡ dose unique chez le rat;100;non nécessaire
67129-08-2;metazachlore;UE;15/12/2008;DJA;0,08;mg/kg/j;2 ans, voie orale, rat;8,5;mg/kg p.c./j;;100;non nécessaire
67129-08-2;metazachlore;UE;15/12/2008;AOEL;0,2;mg/kg/j;90 jours, voie orale, rat;21;mg/kg p.c./j;;100;non nécessaire
67129-08-2;metazachlore;UE;15/12/2008;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, rat;50;mg/kg p.c./j;;100;non nécessaire
125116-23-6 (unstated stereochemistry);metconazole;UE;01/06/2007;AOEL;0,01;mg/kg/j;TÈratogenËse, voie orale, lapin;4;mg/kg p.c./j;;400;non nécessaire
125116-23-6 (unstated stereochemistry);metconazole;UE;01/06/2007;ARFD;0,01;mg/kg pc;TÈratogenËse, voie orale, lapin;4;mg/kg p.c./j;;400;non nécessaire
125116-23-6 (unstated stereochemistry);metconazole;UE;01/06/2007;DJA;0,01;mg/kg/j;TÈratogenËse, voie orale, lapin;4;mg/kg p.c./j;;400;non nécessaire
9006-42-2;Metiram;UE;13/10/2023;ARFD;0,026;mg/kg pc;1 an, voie orale, chien;2,6;mg/kg/p.c./j;;100;non nécessaire
9006-42-2;Metiram;UE;13/10/2023;AOEL;0,013;mg/kg/j;1 an, voie orale, chien;2,6;mg/kg p.c./j;;100;non nécessaire
9006-42-2;Metiram;UE;13/10/2023;AAOEL;0,013;mg/kg pc;1 an, voie orale, chien;2,6;mg/kg/p.c./j;;100;50%
9006-42-2;Metiram;UE;13/10/2023;DJA;0,26;mg/kg/j;1 an, voie orale, chien;2,6;mg/kg p.c./j;;100;non nécessaire
3060-89-7;metobromuron;UE;01/01/2015;AOEL;0,016;mg/kg/j;1 an, voie orale, chien;1,6;mg/kg/p.c./j;Etude multigÈnÈrations, voie orale, rat;100;non nécessaire
3060-89-7;metobromuron;UE;01/01/2015;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;TÈratogenËse, voie orale, rat;100;non nécessaire
3060-89-7;metobromuron;UE;01/01/2015;DJA;0,008;mg/kg/j;2 ans, voie orale, souris;0,8;mg/kg/p.c./j;;100;non nécessaire
220899-03-6;metrafenone;UE;14/07/2006;AOEL;0,43;mg/kg/j;90 jours, voie orale, rat;43;mg/kg p.c./j;;100;non nécessaire
220899-03-6;metrafenone;UE;14/07/2006;ARFD;non pertinent;;;;;;;non nécessaire
220899-03-6;metrafenone;UE;14/07/2006;DJA;0,25;mg/kg/j;2 ans, voie orale, rat;25;mg/kg p.c./j;;100;non nécessaire
21087-64-9;metribuzine;UE;22/03/2006;ARFD;0,02;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;2;mg/kg p.c./j;;100;non nécessaire
21087-64-9;metribuzine;UE;22/03/2006;DJA;0,013;mg/kg/j;2 ans, voie orale, rat;1,3;mg/kg p.c./j;;100;non nécessaire
21087-64-9;metribuzine;UE;22/03/2006;AOEL;0,02;mg/kg/j;Autre(s) Ètude(s);2;mg/kg p.c./j;ensemble des Ètudes court terme;100;non nécessaire
74223-64-6;metsulfuron methyle;UE;01/04/2016;DJA;0,22;mg/kg/j;2 ans, voie orale, rat;22,4;mg/kg p.c./j;;100;non nécessaire
74223-64-6;metsulfuron methyle;UE;01/04/2016;ARFD;0,25;mg/kg pc;TÈratogenËse, voie orale, lapin;25;mg/kg/p.c./j;;100;non nécessaire
74223-64-6;metsulfuron methyle;UE;01/04/2016;AOEL;0,25;mg/kg/j;TÈratogenËse, voie orale, lapin;25;mg/kg p.c./j;;100;non nécessaire
51596-10-2;milbemectine;UE;03/06/2005;DJA;0,03;mg/kg/j;1 an, voie orale, chien;3;mg/kg p.c./j;;100;non nécessaire
51596-10-2;milbemectine;UE;03/06/2005;AOEL;0,014;mg/kg/j;90 jours, voie orale, chien;3;mg/kg p.c./j;;100;47%
51596-10-2;milbemectine;UE;03/06/2005;ARFD;0,03;mg/kg pc;90 jours et 1 an, voie orale, chien;3;mg/kg p.c./j;NeurotoxicitÈ, voie orale, rat, aigue;100;non nécessaire
15299-99-7;napropamide;UE;01/01/2011;ARFD;non pertinent;;;;;;;non nécessaire
15299-99-7;napropamide;UE;01/01/2011;AOEL;0,5;mg/kg/j;1 an, voie orale, chien;50;mg/kg/p.c./j;;100;non nécessaire
15299-99-7;napropamide;UE;01/01/2011;DJA;0,3;mg/kg/j;2 ans, voie orale, rat;30;mg/kg p.c./j;;100;non nécessaire
111991-09-4;nicosulfuron;UE;01/01/2009;ARFD;non pertinent;;;;;;;non nécessaire
111991-09-4;nicosulfuron;UE;01/01/2009;DJA;2;mg/kg/j;2 ans, voie orale, rat;200;mg/kg p.c./j;28 jours, 90 jours et 1 an, voie orale, chien;100;non nécessaire
111991-09-4;nicosulfuron;UE;01/01/2009;AOEL;0,8;mg/kg/j;90 jours et 1 an, voie orale, chien;200;mg/kg p.c./j;;100;0%
23135-22-0;oxamyl;UE;05/04/2023;AAOEL;0,0001;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;0,1;mg/kg/p.c./j;;1000;non nécessaire
23135-22-0;oxamyl;UE;05/04/2023;DJA;0,0001;mg/kg/j;NeurotoxicitÈ, voie orale, rat, aigue;0,1;mg/kg/p.c./j;;1000;non nécessaire
23135-22-0;oxamyl;UE;05/04/2023;ARFD;0,0001;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;0,1;mg/kg p.c./j;;1000;non nécessaire
23135-22-0;oxamyl;UE;05/04/2023;AOEL;0,0001;mg/kg/j;NeurotoxicitÈ, voie orale, rat, aigue;0,1;mg/kg p.c./j;;1000;non nécessaire
1003318-67-9;oxathiapiprolin;UE;03/03/2017;AOEL;0,04;mg/kg/j;1 an, voie orale, chien;13,6;mg/kg/p.c./j;;100;30%
1003318-67-9;oxathiapiprolin;UE;03/03/2017;DJA;0,14;mg/kg/j;1 an, voie orale, chien;13,6;mg/kg/p.c./j;;100;non nécessaire
1003318-67-9;oxathiapiprolin;UE;03/03/2017;ARFD;non pertinent;;;;;;;non nécessaire
42874-03-3;oxyfluorfene;UE;01/01/2012;AOEL;0,013;mg/kg/j;90 jours, voie orale, chien;2,17;mg/kg p.c./j;;100;60%
42874-03-3;oxyfluorfene;UE;01/01/2012;DJA;0,003;mg/kg/j;18 mois, voie orale, souris;0,28;mg/kg p.c./j;;100;non nécessaire
42874-03-3;oxyfluorfene;UE;01/01/2012;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg p.c./j;;100;non nécessaire
76738-62-0;paclobutrazol;UE;01/06/2011;AOEL;0,1;mg/kg/j;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
76738-62-0;paclobutrazol;UE;01/06/2011;DJA;0,022;mg/kg/j;2 ans, voie orale, rat;2,2;mg/kg p.c./j;;100;non nécessaire
76738-62-0;paclobutrazol;UE;01/06/2011;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
66246-88-6;penconazole;UE;01/01/2010;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg/p.c./j;;100;non nécessaire
66246-88-6;penconazole;UE;01/01/2010;AOEL;0,03;mg/kg/j;90 jours et 1 an, voie orale, chien;3;mg/kg/p.c./j;;100;non nécessaire
66246-88-6;penconazole;UE;01/01/2010;DJA;0,03;mg/kg/j;90 jours et 1 an, voie orale, chien;3;mg/kg p.c./j;;100;non nécessaire
40487-42-1;pendimethaline;UE;01/09/2017;AOEL;0,17;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg p.c./j;;100;57%
40487-42-1;pendimethaline;UE;01/09/2017;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;;100;non nécessaire
40487-42-1;pendimethaline;UE;11/04/2003;DJA;0,125;mg/kg/j;2 ans, voie orale, chien;12,5;mg/kg p.c./j;;100;non nécessaire
219714-96-2;penoxsulame;UE;01/08/2010;ARFD;non pertinent;;;;;;;non nécessaire
219714-96-2;penoxsulame;UE;01/08/2010;DJA;0,05;mg/kg/j;2 ans, voie orale, rat;5;mg/kg p.c./j;;100;non nécessaire
219714-96-2;penoxsulame;UE;01/08/2010;AOEL;0,18;mg/kg/j;90 jours, voie orale, chien;18;mg/kg p.c./j;;100;non nécessaire
183675-82-3;penthiopyrad;UE;21/11/2013;ARFD;0,75;mg/kg pc;TÈratogenËse, voie orale, lapin;75;mg/kg/p.c./j;;100;non nécessaire
183675-82-3;penthiopyrad;UE;21/11/2013;AOEL;0,1;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;11;mg/kg/p.c./j;;100;non nécessaire
183675-82-3;penthiopyrad;UE;21/11/2013;DJA;0,1;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;11;mg/kg/p.c./j;;100;non nécessaire
106700-29-2;pethoxamid;UE;20/07/2018;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1;mg/kg p.c./j;;100;non nécessaire
106700-29-2;pethoxamid;UE;20/07/2018;ARFD;0,08;mg/kg pc;90 jours, voie orale, rat et chien;8;mg/kg p.c./j;TÈratogenËse, voie orale, rat;100;non nécessaire
106700-29-2;pethoxamid;UE;20/07/2018;AOEL;0,02;mg/kg/j;1 an, voie orale, chien;2;mg/kg p.c./j;;100;non nécessaire
106700-29-2;pethoxamid;UE;20/07/2018;AAOEL;0,08;mg/kg pc;90 jours, voie orale, rat et chien;8;mg/kg/p.c./j;TÈratogenËse, voie orale, rat;100;non nécessaire
13684-63-4;phenmediphame;UE;13/02/2004;ARFD;non pertinent;;;;;;;non nécessaire
13684-63-4;phenmediphame;UE;13/02/2004;AOEL;0,13;mg/kg/j;90 jours, voie orale, rat;13;mg/kg p.c./j;;100;non nécessaire
13684-63-4;phenmediphame;UE;13/02/2004;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
732-11-6;phosmet;UE;01/02/2022;AAOEL;0,001;mg/kg pc;Reproduction sur deux gÈnÈrations, rat;1;mg/kg/p.c./j;"Etudes court-terme, rat et chien ; Ètude long-terme, rat";1000;non nécessaire
732-11-6;phosmet;UE;01/02/2022;DJA;0,001;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;1;mg/kg p.c./j;"Etudes court-terme, rat et chien ; Ètude long-terme, rat";1000;non nécessaire
732-11-6;phosmet;UE;01/02/2022;AOEL;0,001;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;1;mg/kg p.c./j;"Etudes court-terme, rat et chien ; Ètude long-terme, rat";1000;non nécessaire
732-11-6;phosmet;UE;01/02/2022;ARFD;0,001;mg/kg pc;Reproduction sur deux gÈnÈrations, rat;1;mg/kg p.c./j;"Etudes court-terme, rat et chien ; Ètude long-terme, rat";1000;non nécessaire
10045-86-0;phosphate ferrique;UE;01/01/2016;ARFD;non pertinent;;;;;;;non nécessaire
10045-86-0;phosphate ferrique;UE;01/01/2016;DJA;0,8;mg/kg/j;Autre(s) Ètude(s);;;DÈrivÈ des apports humains, exprimÈe en ion fer.;;non nécessaire
10045-86-0;phosphate ferrique;UE;01/01/2016;AOEL;0,4;mg/kg/j;Autre(s) Ètude(s);;;DÈrivÈ des apports humains, exprimÈe en ion fer.;;50%
20859-73-8;phosphure d'aluminium;UE;01/09/2009;ARFD;0,032;mg/kg pc;Autre(s) Ètude(s);;;TÈratogenËse, inhalation, rat;100;non nécessaire
20859-73-8;phosphure d'aluminium;UE;01/09/2009;AOEL;0,019;mg/kg/j;90 jours, inhalation, rat;;;;100;non nécessaire
20859-73-8;phosphure d'aluminium;UE;01/09/2009;DJA;0,019;mg/kg/j;Autre(s) Ètude(s);;;2 ans, inhalation, rat;100;non nécessaire
12057-74-8;phosphure de magnesium;UE;01/09/2009;ARFD;0,038;mg/kg pc;Autre(s) Ètude(s);;;TÈratogenËse, inhalation, rat;100;non nécessaire
12057-74-8;phosphure de magnesium;UE;01/09/2009;DJA;0,022;mg/kg/j;Autre(s) Ètude(s);;;2 ans, inhalation, rat;100;non nécessaire
12057-74-8;phosphure de magnesium;UE;01/09/2009;AOEL;0,022;mg/kg/j;90 jours, inhalation, rat;;;;100;non nécessaire
1918-02-1†;piclorame;UE;01/01/2009;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
1918-02-1†;piclorame;UE;01/01/2009;DJA;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
1918-02-1†;piclorame;UE;01/01/2009;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
26952-20-5;piclorame : ester isooctylique;UE;01/01/2009;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
26952-20-5;piclorame : ester isooctylique;UE;01/01/2009;DJA;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an , voie orale, chien;100;non nécessaire
26952-20-5;piclorame : ester isooctylique;UE;01/01/2009;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
2545-60-0;piclorame : sel de potassium;UE;01/01/2009;DJA;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
2545-60-0;piclorame : sel de potassium;UE;01/01/2009;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
2545-60-0;piclorame : sel de potassium;UE;01/01/2009;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orael, chien;100;non nécessaire
6753-47-5;piclorame sel d'isopropylamine;UE;01/01/2009;DJA;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an voie orale, chien;100;non nécessaire
6753-47-5;piclorame sel d'isopropylamine;UE;01/01/2009;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
6753-47-5;piclorame sel d'isopropylamine;UE;01/01/2009;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;1 an, voie orale, chien;100;non nécessaire
137641-05-5;picolinafen;UE;12/07/2016;DJA;0,014;mg/kg/j;1 an, voie orale, chien;1,4;mg/kg p.c./j;;100;non nécessaire
137641-05-5;picolinafen;UE;12/07/2016;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg p.c./j;;100;non nécessaire
137641-05-5;picolinafen;UE;12/07/2016;AOEL;0,03;mg/kg/j;90 jours et 1 an, voie orale, chien;5,2;mg/kg p.c./j;;100;60%
243973-20-8;pinoxaden;UE;01/07/2016;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, lapin;10;mg/kg p.c./j;;100;non nécessaire
243973-20-8;pinoxaden;UE;01/07/2016;AOEL;0,1;mg/kg/j;TÈratogenËse, voie orale, lapin;10;mg/kg p.c./j;;100;non nécessaire
243973-20-8;pinoxaden;UE;01/07/2016;DJA;0,1;mg/kg/j;2 ans, voie orale, rat;10;mg/kg p.c./j;TÈratogenËse, voie orale, lapin;100;non nécessaire
51-03-6;piperonyl butoxide;CMT;;AOEL;0,2;;;;;;;non nécessaire
51-03-6;piperonyl butoxide;OMS;;DJA;0,2;mg/kg pc;1 an, voie orale, chien;16;mg/kg/p.c./j;FAO/OMS 1995, 2001 (JMPR review);100;non nécessaire
13977-65-6  13492-26-7;potassium phosphonates;UE;01/10/2013;AOEL;5;mg/kg/j;90 jours, voie orale, rat;500;mg/kg p.c./j;;100;non nécessaire
13977-65-6  13492-26-7;potassium phosphonates;UE;01/10/2013;ARFD;non pertinent;;;;;;;non nécessaire
13977-65-6  13492-26-7;potassium phosphonates;UE;01/10/2013;DJA;2,25;mg/kg/j;2 ans, voie orale, rat;224,7;mg/kg/p.c./j;;100;non nécessaire
127277-53-6;prohexadione-calcium;UE;01/01/2012;ARFD;non pertinent;;;;;;;non nécessaire
127277-53-6;prohexadione-calcium;UE;01/01/2012;AOEL;0,35;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;35;mg/kg p.c./j;;100;non nécessaire
127277-53-6;prohexadione-calcium;UE;01/01/2012;DJA;0,2;mg/kg/j;1 an, voie orale, chien;20;mg/kg p.c./j;;100;non nécessaire
24579-73-5;propamocarbe;UE;24/11/2006;DJA;0,29;mg/kg/j;1 an, voie orale, rat;29;mg/kg p.c./j;;100;non nécessaire
24579-73-5;propamocarbe;UE;24/11/2006;ARFD;1;mg/kg pc;28 jours, voie orale, rat;100;mg/kg p.c./j;;100;non nécessaire
24579-73-5;propamocarbe;UE;24/11/2006;AOEL;0,29;mg/kg/j;1 an, voie orale, rat;29;mg/kg p.c./j;;100;non nécessaire
111479-05-1;propaquizafop;UE;01/12/2009;ARFD;non pertinent;;;;;;;non nécessaire
111479-05-1;propaquizafop;UE;01/12/2009;DJA;0,015;mg/kg/j;18 mois, voie orale, souris;1,5;mg/kg/p.c./j;;100;non nécessaire
111479-05-1;propaquizafop;UE;01/12/2009;AOEL;0,04;mg/kg/j;90 jours, voie orale, rat;6,25;mg/kg/p.c./j;;100;65%
181274-15-7;propoxycarbazone;UE;01/09/2017;DJA;0,4;mg/kg/j;2 ans, voie orale, rat;43;mg/kg/p.c./j;;100;non nécessaire
181274-15-7;propoxycarbazone;UE;01/09/2017;ARFD;non pertinent;;;;;;;non nécessaire
181274-15-7;propoxycarbazone;UE;01/09/2017;AAOEL;non pertinent;;;;;;;non nécessaire
181274-15-7;propoxycarbazone;UE;01/09/2017;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;100;mg/kg p.c./j;;100;30%
23950-58-5;propyzamide;UE;01/07/2018;AAOEL;0,13;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;39;mg/kg/p.c./j;;300;non nécessaire
23950-58-5;propyzamide;UE;01/07/2018;AOEL;0,05;mg/kg/j;Autre(s) Ètude(s);4,5;mg/kg/p.c./j;Ensemble d'Ètudes court-terme et long-terme;100;non nécessaire
23950-58-5;propyzamide;UE;01/07/2018;ARFD;0,13;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;39;mg/kg/p.c./j;;300;non nécessaire
23950-58-5;propyzamide;UE;01/07/2018;DJA;0,05;mg/kg/j;18 mois, voie orale, souris;5;mg/kg/p.c./j;;100;non nécessaire
189278-12-4 ;proquinazid;UE;21/10/2008;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;12;mg/kg p.c./j;;100;non nécessaire
189278-12-4 ;proquinazid;UE;21/10/2008;AOEL;0,02;mg/kg/j;90 jours, voie orale, rat;2;mg/kg p.c./j;;100;non nécessaire
189278-12-4 ;proquinazid;UE;21/10/2008;ARFD;0,2;mg/kg pc;90 jours, voie orale, chien;17;mg/kg p.c./j;;100;non nécessaire
52888-80-9;prosulfocarbe;UE;20/12/2007;AOEL;0,007;mg/kg/j;90 jours, voie orale, rat;1;mg/kg p.c./j;;100;72%
52888-80-9;prosulfocarbe;UE;20/12/2007;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
52888-80-9;prosulfocarbe;UE;20/12/2007;DJA;0,005;mg/kg/j;2 ans, voie orale, rat;0,5;mg/kg p.c./j;Etude multigÈnÈrations, voie orale, rat;100;non nécessaire
94125-34-5;prosulfuron;UE;01/05/2017;AOEL;0,06;mg/kg/j;90 jours, voie orale, chien;6;mg/kg p.c./j;;100;non nécessaire
94125-34-5;prosulfuron;UE;01/05/2017;DJA;0,02;mg/kg/j;18 mois, voie orale, souris;2;mg/kg p.c./j;1 an, voie orale, chien;100;non nécessaire
94125-34-5;prosulfuron;UE;01/05/2017;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, lapin;10;mg/kg/p.c./j;;100;non nécessaire
178928-70-6;prothioconazole;UE;12/07/2007;ARFD;0,01;mg/kg pc;TÈratogenËse, voie orale, rat;1;mg/kg p.c./j;;100;non nécessaire
178928-70-6;prothioconazole;UE;12/07/2007;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1,1;mg/kg p.c./j;;100;non nécessaire
178928-70-6;prothioconazole;UE;12/07/2007;AOEL;0,2;mg/kg/j;TÈratogenËse, voie orale, rat;20;mg/kg p.c./j;;100;non nécessaire
175013-18-0;pyraclostrobine;UE;28/11/2003;ARFD;0,03;mg/kg pc;TÈratogenËse, voie orale, lapin;3;mg/kg p.c./j;;100;non nécessaire
175013-18-0;pyraclostrobine;UE;28/11/2003;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
175013-18-0;pyraclostrobine;UE;28/11/2003;AOEL;0,015;mg/kg/j;TÈratogenËse, voie orale, lapin;3;mg/kg p.c./j;;100;50%
129630-19-9;pyraflufen ethyl;UE;01/04/2016;AOEL;0,1;mg/kg/j;90 jours, voie orale, souris;20;mg/kg p.c./j;"TÈratogÈnËse, voie orale, lapin ; 2 ans, voie orale, rat ; 18 mois, voie orale, souris";100;56%
129630-19-9;pyraflufen ethyl;UE;01/04/2016;DJA;0,2;mg/kg/j;2 ans et 18 mois, voie orale, rat et souris;20;mg/kg p.c./j;;100;non nécessaire
129630-19-9;pyraflufen ethyl;UE;01/04/2016;ARFD;0,2;mg/kg pc;TÈratogenËse, voie orale, lapin;20;mg/kg p.c./j;90 jours, voie orale, souris;100;non nécessaire
8003-34-7;pyrethrines;UE;01/12/2013;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;4,73;mg/kg p.c./j;;100;non nécessaire
8003-34-7;pyrethrines;UE;01/12/2013;ARFD;0,2;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;20;mg/kg p.c./j;;100;non nécessaire
8003-34-7;pyrethrines;UE;01/12/2013;AOEL;0,07;mg/kg/j;1 an, voie orale, chien;14;mg/kg/p.c./j;;100;55%
96489-71-3;pyridabene;UE;01/05/2011;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg p.c./j;TÈratogenËse, voie orale, rat;100;non nécessaire
96489-71-3;pyridabene;UE;01/05/2011;AOEL;0,005;mg/kg/j;90 jours et 1 an, voie orale, chien;1;mg/kg p.c./j;;100;50%
96489-71-3;pyridabene;UE;01/05/2011;DJA;0,01;mg/kg/j;2 ans et 18 mois, voie orale, rat et souris;1;mg/kg p.c./j;;100;non nécessaire
55512-33-9;pyridate;UE;01/01/2016;DJA;0,036;mg/kg/j;Reproduction sur trois gÈnÈrations, rat;3,6;mg/kg p.c./j;;100;non nécessaire
55512-33-9;pyridate;UE;01/01/2016;ARFD;0,4;mg/kg pc;TÈratogenËse, voie orale, rat;165;mg/kg/p.c./j;;400;non nécessaire
55512-33-9;pyridate;UE;01/01/2016;AOEL;0,036;mg/kg/j;Reproduction sur trois gÈnÈrations, rat;3,6;mg/kg p.c./j;;100;non nécessaire
53112-28-0;pyrimethanil;UE;23/05/2006;AOEL;0,12;mg/kg/j;90 jours, voie orale, rat;17;mg/kg p.c./j;2 ans, voie orale, rat;100;72%
53112-28-0;pyrimethanil;UE;23/05/2006;DJA;0,17;mg/kg/j;2 ans, voie orale, rat;17;mg/kg p.c./j;Etude multigÈnÈrations, voie orale, rat;100;non nécessaire
53112-28-0;pyrimethanil;UE;23/05/2006;ARFD;non pertinent;;;;;;;non nécessaire
23103-98-2;pyrimicarbe;UE;27/01/2006;DJA;0,035;mg/kg/j;1 an, voie orale, chien;3,5;mg/kg p.c./j;;100;non nécessaire
23103-98-2;pyrimicarbe;UE;27/01/2006;ARFD;0,1;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;10;mg/kg p.c./j;;100;non nécessaire
23103-98-2;pyrimicarbe;UE;27/01/2006;AOEL;0,035;mg/kg/j;1 an, voie orale, chien;3,5;mg/kg p.c./j;;100;non nécessaire
29232-93-7;pyrimiphos-methyl;UE;16/03/2007;DJA;0,004;mg/kg/j;2 ans, voie orale, rat;0,4;mg/kg p.c./j;"2 ans, voie orale, chien ; donnÈes humaines";100;non nécessaire
29232-93-7;pyrimiphos-methyl;UE;16/03/2007;AOEL;0,02;mg/kg/j;NeurotoxicitÈ, voie orale, rat, chronique;2,1;mg/kg p.c./j;"2 ans, voie orale,  chien (NOAEL ‡ 12 semaines) ; donnÈes humaines";100;non nécessaire
29232-93-7;pyrimiphos-methyl;UE;16/03/2007;ARFD;0,15;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;15;mg/kg p.c./j;;100;non nécessaire
688046-61-9;pyriofÈnone;UE;01/02/2014;AOEL;0,15;mg/kg/j;90 jours et 1 an, voie orale, chien;15;mg/kg/p.c./j;90 jours, voie orale, rat;100;non nécessaire
688046-61-9;pyriofÈnone;UE;01/02/2014;ARFD;non pertinent;;;;;;;non nécessaire
688046-61-9;pyriofÈnone;UE;01/02/2014;DJA;0,07;mg/kg/j;2 ans, voie orale, rat;7,25;mg/kg/p.c./j;;100;non nécessaire
95737-68-1;pyriproxyfen;UE;01/08/2020;AAOEL;0,4;mg/kg pc;TÈratogenËse, voie orale, lapin;100;mg/kg/p.c./j;;100;40%
95737-68-1;pyriproxyfen;UE;01/08/2020;AOEL;0,04;mg/kg/j;1 an, voie orale, chien;10;mg/kg/p.c./j;;100;40%
95737-68-1;pyriproxyfen;UE;01/08/2020;DJA;0,05;mg/kg/j;18 mois, voie orale, souris;16,4;mg/kg p.c./j;;300;non nécessaire
95737-68-1;pyriproxyfen;UE;01/08/2020;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, lapin;100;mg/kg p.c./j;;100;non nécessaire
10058-44-3;pyrophosphate ferrique;UE;03/08/2020;ARFD;non pertinent;;;;;;;non nécessaire
10058-44-3;pyrophosphate ferrique;UE;03/08/2020;DJA;0,8;mg/kg pc;Autre(s) Ètude(s);;;DÈrivÈ des apports humains, exprimÈe en ion de fer (50 mg de fer/jour pour un individu de 60 kg);;non nécessaire
10058-44-3;pyrophosphate ferrique;UE;03/08/2020;AAOEL;non pertinent;;;;;;;non nécessaire
10058-44-3;pyrophosphate ferrique;UE;03/08/2020;AOEL;0,4;mg/kg pc;Autre(s) Ètude(s);;;DÈrivÈ des apports humains, exprimÈe en ion de fer (50 mg de fer/jour pour un individu de 60 kg);;50%
