Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
12057-74-8;phosphure de magnesium;02/10/2013;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
12057-74-8;phosphure de magnesium;02/10/2013;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané
12057-74-8;phosphure de magnesium;02/10/2013;Toxicité aiguë (par inhalation), catégorie 1;H330;Mortel par inhalation
01/02/1918;piclorame;27/06/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
01/02/1918;piclorame;27/06/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
137641-05-5;picolinafen;19/10/2023;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
137641-05-5;picolinafen;19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
137641-05-5;picolinafen;19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
243973-20-8;pinoxaden;04/10/2018;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
243973-20-8;pinoxaden;04/10/2018;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
243973-20-8;pinoxaden;04/10/2018;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
243973-20-8;pinoxaden;04/10/2018;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
243973-20-8;pinoxaden;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
243973-20-8;pinoxaden;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
243973-20-8;pinoxaden;04/10/2018;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
243973-20-8;pinoxaden;04/10/2018;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
51-03-6;piperonyl butoxide;16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
51-03-6;piperonyl butoxide;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
51-03-6;piperonyl butoxide;16/02/2022;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
51-03-6;piperonyl butoxide;16/02/2022;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
13977-65-6 ou 13492-26-7;potassium phosphonates;15/07/2009;Sans classement;Sans classement;Sans classement
127277-53-6;prohexadione-calcium;09/07/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
24579-73-5;propamocarbe;15/07/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
111479-05-1;propaquizafop;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
111479-05-1;propaquizafop;;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
111479-05-1;propaquizafop;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
181274-15-7;propoxycarbazone;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
181274-15-7;propoxycarbazone;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
23950-58-5;propyzamide;16/12/2008;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
23950-58-5;propyzamide;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
23950-58-5;propyzamide;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
189278-12-4 ;proquinazid;02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
189278-12-4 ;proquinazid;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
189278-12-4 ;proquinazid;02/10/2013;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
52888-80-9;prosulfocarbe;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
52888-80-9;prosulfocarbe;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
52888-80-9;prosulfocarbe;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
94125-34-5;prosulfuron;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
94125-34-5;prosulfuron;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
94125-34-5;prosulfuron;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
178928-70-6;prothioconazole;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
178928-70-6;prothioconazole;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
175013-18-0;pyraclostrobine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
175013-18-0;pyraclostrobine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
175013-18-0;pyraclostrobine;10/08/2009;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
175013-18-0;pyraclostrobine;10/08/2009;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
129630-19-9;pyraflufen ethyl;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
129630-19-9;pyraflufen ethyl;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
8003-34-7;pyrethrines;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
8003-34-7;pyrethrines;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
8003-34-7;pyrethrines;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
8003-34-7;pyrethrines;16/12/2008;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
8003-34-7;pyrethrines;16/12/2008;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
96489-71-3;pyridabene;24/07/2015;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
96489-71-3;pyridabene;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
96489-71-3;pyridabene;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
96489-71-3;pyridabene;24/07/2015;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
55512-33-9;pyridate;04/10/2019;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
55512-33-9;pyridate;04/10/2019;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
55512-33-9;pyridate;04/10/2019;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
55512-33-9;pyridate;04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
55512-33-9;pyridate;04/10/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
53112-28-0;pyrimethanil;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
23103-98-2;pyrimicarbe;19/07/2016;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
23103-98-2;pyrimicarbe;19/07/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
23103-98-2;pyrimicarbe;19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
23103-98-2;pyrimicarbe;19/07/2016;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
23103-98-2;pyrimicarbe;19/07/2016;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
23103-98-2;pyrimicarbe;19/07/2016;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
29232-93-7;pyrimiphos-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
29232-93-7;pyrimiphos-methyl;19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
29232-93-7;pyrimiphos-methyl;19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
29232-93-7;pyrimiphos-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
688046-61-9;pyriofénone;11/03/2021;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
688046-61-9;pyriofénone;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
95737-68-1;pyriproxyfen;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
95737-68-1;pyriproxyfen;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
10058-44-3;pyrophosphate ferrique;23/04/2024;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
422556-08-9;pyroxsulame;04/10/2018;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
422556-08-9;pyroxsulame;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
422556-08-9;pyroxsulame;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
90717-03-6;Quinmerac;14/01/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
90717-03-6;Quinmerac;14/01/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
100646-51-3;quizalofop-P-ethyl;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
100646-51-3;quizalofop-P-ethyl;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
100646-51-3;quizalofop-P-ethyl;;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
122931-48-0;rimsulfuron;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
122931-48-0;rimsulfuron;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
874967-67-6;sedaxane;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
874967-67-6;sedaxane;11/03/2021;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
874967-67-6;sedaxane;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
175217-20-6;silthiofam;19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
175217-20-6;silthiofam;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
130561-48-7;sintofen;;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
130561-48-7;sintofen;;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
87392-12-9 ou 178961-20-1;s-metolachlore;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
87392-12-9 ou 178961-20-1;s-metolachlore;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
87392-12-9 ou 178961-20-1;s-metolachlore;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
7704-34-9;soufre;10/08/2009;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
935545-74-7;spinetoram;15/03/2016;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
935545-74-7;spinetoram;15/03/2016;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
935545-74-7;spinetoram;15/03/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
935545-74-7;spinetoram;15/03/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
935545-74-7;spinetoram;15/03/2016;Toxicité pour la reproduction, catégorie 2(f);H361f;Susceptible de nuire à la fertilité 
168316-95-8;spinosad;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
168316-95-8;spinosad;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
203313-25-1;spirotetramate;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
203313-25-1;spirotetramate;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
203313-25-1;spirotetramate;24/07/2015;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
203313-25-1;spirotetramate;24/07/2015;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
203313-25-1;spirotetramate;24/07/2015;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus
203313-25-1;spirotetramate;24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
118134-30-8;spiroxamine;04/05/2017;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
118134-30-8;spiroxamine;04/05/2017;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
118134-30-8;spiroxamine;04/05/2017;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
118134-30-8;spiroxamine;04/05/2017;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
118134-30-8;spiroxamine;04/05/2017;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
118134-30-8;spiroxamine;04/05/2017;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
118134-30-8;spiroxamine;04/05/2017;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
118134-30-8;spiroxamine;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
118134-30-8;spiroxamine;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
99105-77-8;sulcotrione;02/10/2013;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
99105-77-8;sulcotrione;02/10/2013;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
99105-77-8;sulcotrione;02/10/2013;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
99105-77-8;sulcotrione;02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
99105-77-8;sulcotrione;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
7782-63-0;sulfate de fer;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
7782-63-0;sulfate de fer;10/08/2009;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
7782-63-0;sulfate de fer;10/08/2009;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
141776-32-1;Sulfosulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
141776-32-1;Sulfosulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
102851-06-9;tau-fluvalinate;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
102851-06-9;tau-fluvalinate;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
102851-06-9;tau-fluvalinate;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
102851-06-9;tau-fluvalinate;16/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
107534-96-3;tebuconazole;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
107534-96-3;tebuconazole;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
107534-96-3;tebuconazole;24/07/2015;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
107534-96-3;tebuconazole;24/07/2015;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
112410-23-8;tebufenozide;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
119168-77-3;tebufenpyrad;02/10/2013;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
119168-77-3;tebufenpyrad;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
119168-77-3;tebufenpyrad;02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
119168-77-3;tebufenpyrad;02/10/2013;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
119168-77-3;tebufenpyrad;02/10/2013;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
119168-77-3;tebufenpyrad;02/10/2013;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
79538-32-2;tefluthrine;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
79538-32-2;tefluthrine;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
79538-32-2;tefluthrine;04/05/2017;Toxicité aiguë (par inhalation), catégorie 1;H330;Mortel par inhalation
79538-32-2;tefluthrine;04/05/2017;Toxicité aiguë (par voie cutanée), catégorie 2;H310;Mortel par contact cutané
79538-32-2;tefluthrine;04/05/2017;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
335104-84-2;tembotrione;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
335104-84-2;tembotrione;24/07/2015;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
335104-84-2;tembotrione;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
335104-84-2;tembotrione;24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
335104-84-2;tembotrione;24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
5915-41-3;terbuthylazine;04/05/2017;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
5915-41-3;terbuthylazine;04/05/2017;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
5915-41-3;terbuthylazine;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
5915-41-3;terbuthylazine;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
112281-77-3;tetraconazole;10/08/2009;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
112281-77-3;tetraconazole;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
112281-77-3;tetraconazole;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
148-79-8;thiabendazole;04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
148-79-8;thiabendazole;04/10/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
317815-83-1;thiencarbazone-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
317815-83-1;thiencarbazone-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
79277-27-3;thifensulfuron methyle;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
79277-27-3;thifensulfuron methyle;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
57018-04-9;Tolclophos methyle;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
57018-04-9;Tolclophos methyle;11/03/2021;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
57018-04-9;Tolclophos methyle;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
2303-17-5;tri-allate;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
2303-17-5;tri-allate;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
2303-17-5;tri-allate;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
2303-17-5;tri-allate;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
2303-17-5;tri-allate;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
101200-48-0;tribenuron-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
101200-48-0;tribenuron-methyl;19/05/2020;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
101200-48-0;tribenuron-methyl;19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
101200-48-0;tribenuron-methyl;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
055335-06-3;triclopyr;;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
055335-06-3;triclopyr;;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
055335-06-3;triclopyr;;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
055335-06-3;triclopyr;;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
64700-56-7;triclopyr butoxy ethyl ester;12/10/2016;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
64700-56-7;triclopyr butoxy ethyl ester;12/10/2016;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
64700-56-7;triclopyr butoxy ethyl ester;12/10/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
64700-56-7;triclopyr butoxy ethyl ester;12/10/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
64700-56-7;triclopyr butoxy ethyl ester;12/10/2016;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
141517-21-7;trifloxystrobine;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
141517-21-7;trifloxystrobine;11/03/2021;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
141517-21-7;trifloxystrobine;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
